Port:              P008
Site:              Portsmouth
Latitude:          50.80256
Longitude:         -1.11175
Start Date:        01JAN2021-00.00.00
End Date:          31JAN2021-23.45.00
Contributor:       National Oceanography Centre, Liverpool
Datum information: The data refer to Admiralty Chart Datum (ACD)
Parameter code:    ASLVBG02 = Surface elevation (unspecified datum) of the water body by bubbler tide gauge (second sensor)
  Cycle    Date      Time    ASLVBG02   Residual  
 Number yyyy mm dd hh mi ssf         f          f 
   236) 2021/01/03 10:45:00     2.467     -0.151  
   237) 2021/01/03 11:00:00     2.633     -0.141  
   238) 2021/01/03 11:15:00     2.819     -0.138  
   239) 2021/01/03 11:30:00     3.015     -0.143  
   240) 2021/01/03 11:45:00     3.211     -0.155  
   241) 2021/01/03 12:00:00     3.417     -0.152  
   242) 2021/01/03 12:15:00     3.618     -0.143  
   243) 2021/01/03 12:30:00     3.812     -0.126  
   244) 2021/01/03 12:45:00     3.984     -0.114  
   245) 2021/01/03 13:00:00     4.126     -0.114  
   246) 2021/01/03 13:15:00     4.231     -0.126  
   247) 2021/01/03 13:30:00     4.299     -0.145  
   248) 2021/01/03 13:45:00     4.334     -0.160  
   249) 2021/01/03 14:00:00     4.346     -0.159  
   250) 2021/01/03 14:15:00     4.317     -0.163  
   251) 2021/01/03 14:30:00     4.263     -0.167  
   252) 2021/01/03 14:45:00     4.197     -0.170  
   253) 2021/01/03 15:00:00     4.132     -0.170  
   254) 2021/01/03 15:15:00     4.086     -0.154  
   255) 2021/01/03 15:30:00     4.056     -0.121  
   256) 2021/01/03 15:45:00     4.020     -0.082  
   257) 2021/01/03 16:00:00     3.949     -0.054  
   258) 2021/01/03 16:15:00     3.803     -0.064  
   259) 2021/01/03 16:30:00     3.594     -0.095  
   260) 2021/01/03 16:45:00     3.338     -0.131  
   261) 2021/01/03 17:00:00     3.058     -0.155  
   262) 2021/01/03 17:15:00     2.757     -0.176  
   263) 2021/01/03 17:30:00     2.451     -0.186  
   264) 2021/01/03 17:45:00     2.134     -0.202  
   265) 2021/01/03 18:00:00     1.823     -0.216  
   266) 2021/01/03 18:15:00     1.534     -0.225  
   267) 2021/01/03 18:30:00     1.282     -0.225  
   268) 2021/01/03 18:45:00     1.076     -0.224  
   269) 2021/01/03 19:00:00     0.944     -0.205  
   270) 2021/01/03 19:15:00     0.903     -0.159  
   271) 2021/01/03 19:30:00     0.924     -0.116  
   272) 2021/01/03 19:45:00     0.995     -0.080  
   273) 2021/01/03 20:00:00     1.107     -0.046  
   274) 2021/01/03 20:15:00     1.236     -0.023  
   275) 2021/01/03 20:30:00     1.374     -0.004  
   276) 2021/01/03 20:45:00     1.506      0.008  
   277) 2021/01/03 21:00:00     1.624      0.010  
   278) 2021/01/03 21:15:00     1.737      0.017  
   279) 2021/01/03 21:30:00     1.836      0.022  
   280) 2021/01/03 21:45:00     1.917      0.019  
   281) 2021/01/03 22:00:00     1.982      0.008  
   282) 2021/01/03 22:15:00     2.034     -0.013  
   283) 2021/01/03 22:30:00     2.081     -0.044  
   284) 2021/01/03 22:45:00     2.160     -0.058  
   285) 2021/01/03 23:00:00     2.273     -0.062  
   286) 2021/01/03 23:15:00     2.422     -0.059  
   287) 2021/01/03 23:30:00     2.605     -0.051  
   288) 2021/01/03 23:45:00     2.809     -0.044  
   289) 2021/01/04 00:00:00     3.010     -0.053  
   290) 2021/01/04 00:15:00     3.209     -0.065  
   291) 2021/01/04 00:30:00     3.415     -0.065  
   292) 2021/01/04 00:45:00     3.624     -0.052  
   293) 2021/01/04 01:00:00     3.813     -0.047  
   294) 2021/01/04 01:15:00     3.993     -0.037  
   295) 2021/01/04 01:30:00     4.140     -0.043  
   296) 2021/01/04 01:45:00     4.254     -0.056  
   297) 2021/01/04 02:00:00     4.327     -0.079  
   298) 2021/01/04 02:15:00     4.380     -0.085  
   299) 2021/01/04 02:30:00     4.397     -0.090  
   300) 2021/01/04 02:45:00     4.380     -0.099  
   301) 2021/01/04 03:00:00     4.336     -0.116  
   302) 2021/01/04 03:15:00     4.283     -0.134  
   303) 2021/01/04 03:30:00     4.241     -0.140  
   304) 2021/01/04 03:45:00     4.218     -0.124  
   305) 2021/01/04 04:00:00     4.206     -0.086  
   306) 2021/01/04 04:15:00     4.172     -0.048  
   307) 2021/01/04 04:30:00     4.077     -0.036  
   308) 2021/01/04 04:45:00     3.906     -0.057  
   309) 2021/01/04 05:00:00     3.674     -0.096  
   310) 2021/01/04 05:15:00     3.416     -0.123  
   311) 2021/01/04 05:30:00     3.134     -0.144  
   312) 2021/01/04 05:45:00     2.841     -0.158  
   313) 2021/01/04 06:00:00     2.536     -0.173  
   314) 2021/01/04 06:15:00     2.227     -0.191  
   315) 2021/01/04 06:30:00     1.918     -0.219  
   316) 2021/01/04 06:45:00     1.643     -0.234  
   317) 2021/01/04 07:00:00     1.414     -0.239  
   318) 2021/01/04 07:15:00     1.247     -0.232  
   319) 2021/01/04 07:30:00     1.163     -0.202  
   320) 2021/01/04 07:45:00     1.165     -0.150  
