Port:              P008
Site:              Portsmouth
Latitude:          50.80256
Longitude:         -1.11175
Start Date:        01MAY2021-00.00.00
End Date:          31MAY2021-23.45.00
Contributor:       National Oceanography Centre, Liverpool
Datum information: The data refer to Admiralty Chart Datum (ACD)
Parameter code:    ASLVBG02 = Surface elevation (unspecified datum) of the water body by bubbler tide gauge (second sensor)
  Cycle    Date      Time    ASLVBG02   Residual  
 Number yyyy mm dd hh mi ssf         f          f 
   421) 2021/05/05 09:00:00     3.259      0.253  
   422) 2021/05/05 09:15:00     3.095      0.257  
   423) 2021/05/05 09:30:00     2.923      0.263  
   424) 2021/05/05 09:45:00     2.745      0.264  
   425) 2021/05/05 10:00:00     2.566      0.256  
   426) 2021/05/05 10:15:00     2.397      0.241  
   427) 2021/05/05 10:30:00     2.254      0.230  
   428) 2021/05/05 10:45:00     2.129      0.212  
   429) 2021/05/05 11:00:00     2.029      0.194  
   430) 2021/05/05 11:15:00     1.974      0.195  
   431) 2021/05/05 11:30:00     1.929      0.181  
   432) 2021/05/05 11:45:00     1.906      0.167  
   433) 2021/05/05 12:00:00     1.918      0.166  
   434) 2021/05/05 12:15:00     1.947      0.167  
   435) 2021/05/05 12:30:00     1.984      0.164  
   436) 2021/05/05 12:45:00     2.024      0.159  
   437) 2021/05/05 13:00:00     2.063      0.153  
   438) 2021/05/05 13:15:00     2.114      0.162  
   439) 2021/05/05 13:30:00     2.162      0.173  
   440) 2021/05/05 13:45:00     2.210      0.185  
   441) 2021/05/05 14:00:00     2.289      0.227  
   442) 2021/05/05 14:15:00     2.358      0.253  
   443) 2021/05/05 14:30:00     2.399      0.243  
   444) 2021/05/05 14:45:00     2.457      0.237  
   445) 2021/05/05 15:00:00     2.525      0.227  
   446) 2021/05/05 15:15:00     2.593      0.203  
   447) 2021/05/05 15:30:00     2.685      0.188  
   448) 2021/05/05 15:45:00     2.808      0.188  
   449) 2021/05/05 16:00:00     2.930      0.175  
   450) 2021/05/05 16:15:00     3.049      0.149  
   451) 2021/05/05 16:30:00     3.171      0.122  
   452) 2021/05/05 16:45:00     3.296      0.100  
   453) 2021/05/05 17:00:00     3.423      0.088  
   454) 2021/05/05 17:15:00     3.550      0.088  
   455) 2021/05/05 17:30:00     3.689      0.113  
   456) 2021/05/05 17:45:00     3.829      0.152  
   457) 2021/05/05 18:00:00     3.949      0.185  
   458) 2021/05/05 18:15:00     4.051      0.212  
   459) 2021/05/05 18:30:00     4.130      0.228  
   460) 2021/05/05 18:45:00     4.186      0.235  
   461) 2021/05/05 19:00:00     4.214      0.229  
   462) 2021/05/05 19:15:00     4.221      0.220  
   463) 2021/05/05 19:30:00     4.213      0.212  
   464) 2021/05/05 19:45:00     4.190      0.205  
   465) 2021/05/05 20:00:00     4.165      0.210  
   466) 2021/05/05 20:15:00     4.135      0.225  
   467) 2021/05/05 20:30:00     4.089      0.238  
   468) 2021/05/05 20:45:00     4.013      0.241  
   469) 2021/05/05 21:00:00     3.910      0.238  
   470) 2021/05/05 21:15:00     3.792      0.246  
   471) 2021/05/05 21:30:00     3.654      0.259  
   472) 2021/05/05 21:45:00     3.501      0.279  
   473) 2021/05/05 22:00:00     3.337      0.303  
   474) 2021/05/05 22:15:00     3.160      0.320  
   475) 2021/05/05 22:30:00     2.969      0.319  
   476) 2021/05/05 22:45:00     2.776      0.305  
   477) 2021/05/05 23:00:00     2.581      0.271  
   478) 2021/05/05 23:15:00     2.404      0.234  
   479) 2021/05/05 23:30:00     2.239      0.185  
   480) 2021/05/05 23:45:00     2.106      0.141  
   481) 2021/05/06 00:00:00     1.998      0.097  
   482) 2021/05/06 00:15:00     1.935      0.070  
   483) 2021/05/06 00:30:00     1.909      0.056  
   484) 2021/05/06 00:45:00     1.920      0.057  
   485) 2021/05/06 01:00:00     1.954      0.067  
   486) 2021/05/06 01:15:00     1.992      0.073  
   487) 2021/05/06 01:30:00     2.036      0.082  
   488) 2021/05/06 01:45:00     2.080      0.092  
   489) 2021/05/06 02:00:00     2.121      0.102  
   490) 2021/05/06 02:15:00     2.170      0.121  
   491) 2021/05/06 02:30:00     2.219      0.140  
   492) 2021/05/06 02:45:00     2.262      0.149  
   493) 2021/05/06 03:00:00     2.304      0.150  
   494) 2021/05/06 03:15:00     2.335      0.131  
   495) 2021/05/06 03:30:00     2.379      0.114  
   496) 2021/05/06 03:45:00     2.436      0.097  
   497) 2021/05/06 04:00:00     2.519      0.093  
   498) 2021/05/06 04:15:00     2.625      0.097  
   499) 2021/05/06 04:30:00     2.745      0.102  
   500) 2021/05/06 04:45:00     2.872      0.102  
   501) 2021/05/06 05:00:00     3.000      0.098  
   502) 2021/05/06 05:15:00     3.129      0.094  
